#separator:tab
#html:false
〜間	〜の期間ずっと
〜ところだ	① ある動作が始まる直前を表す。これから〜する。 ② ある動作が今、まさに行われている最中であることを表す。 ③ ある動作が終わった直後を表す。たった今〜した。
〜という	聞き手が知らないであろう物・人・場所などの名前を言う時に使う。
なかなか〜ない	① 簡単には〜できない ② 〜するには時間がかかる
〜なさい	命令・指示を表す。
〜なら	① 相手が話題にしたことを取り上げて、それに関してアドバイスしたり、リクエストしたりする時に使われる表現 ② 相手の言ったことを話題に取り上げて述べる表現 ③ 限定や対照を表す。「他は〜ではないが、ある１つのものや事柄に関して言うと〜だ」という意味。
〜にくい	①〜するのが難しい ②なかなか〜しない（性質）
「〜にくい」と「〜づらい」との違い	似た文型に「〜づらい」がありますが、「辛い」という漢字からも想像できるように、話者の精神的・肉体的に負担だという気持ちが含まれています。
「〜にくい」と「〜がたい」との違い	「能力や事情によって難しい」と言いたい場合、「〜がたい」は使えません。   そのため、次のような文では置き換えて言うことができません。  ⭕️ 今、足を怪我しているので歩きにくい。 ❌ 今、足を怪我しているので歩きがたい。
〜にする	色々ある選択肢の中から、１つを選んで決めるときに使う。
〜ので	理由・原因を言う時に使う。
〜のに	〜けれど   「当然〜だろう」と予想される事柄とは違った結果になったことを表す。話の手の驚きや不満などの気持ちが含まれる。
〜のに	物の用途を述べるときに使う表現。 動詞は「使います」を使うことが多い。
〜のに	物や場所などを評価するときに使う表現
〜のは〜だ	強調構文。 後件の内容を強く言いたい時に使う表現。この文型を使うことで、文全体の主張が強まる
〜ば	XばY：Xという条件が成立すると、Yが起こることを表す。
〜は	２つの物や事柄を対比して言う時に助詞「は」が使われる。
〜ばかり	同じ物がたくさんある、同じことを何度もするという意味を表す。 マイナスの意味で使われることが多い。
〜はずだ	理由があって、絶対に〜だと思う。
〜はじめる	動作や現象の開始を表す。
〜必要がある	〜しなければならない ある目標や目的を達成するためには、〜しなければならないという意味。
〜ほうがいい	〜すること（しないこと）を、相手に助言する表現。 そうしなかったら悪いことが起こると助言や忠告をするときに使う。
〜ほど〜ない	"""XはYほど〜ない""で、XもYも同じぐらい～であるが、比べるとXはYよりは程度が低いことを表す。"
まだ〜ていない	動作やイベントが終わっていないことを表す（未完了）。
〜までに	その時間や日付が来る前に
〜まま	同じ状態が変わらずに続くことを表す。
「〜たまま」と「〜ながら」の違い	「Vたまま」は瞬間動詞と一緒に使われる。 （例）立ったまま、食べる。 /  死んだまま、動かない。/ 電気をつけたまま、寝る。   「Vながら」は原則、瞬間動詞と一緒には使わない。 （例）ご飯を食べながら、新聞を読む。 / 音楽を聞きながら、本を読む。
〜みたいだ	"""〜と思う / 〜の感じがする"" 五感を使って話し手が感じたこと、推量したことを言う表現"
〜みたいな / みたいに	具体的な例を挙げる時に使う
〜も	数量が多いことを表す。 話し手の驚きの気持ちが含まれる。
〜やすい	〜するのが簡単だ / 簡単に〜という状態になる
〜ようだ	五感を使って話し手が感じたこと、推量したことを言う表現
〜ようと思う	話し手が発話の時点で考えた計画や決心を述べる時に使う表現。
〜ようと思っている	話し手の意思や計画を伝える時に使う表現。
〜ような / ように	具体的な例を挙げる時に使う
比喩の「ようだ」と例示の「ようだ」の判別方法	「ようだ」よりも前に「まるで」と「たとえば」を置いてみる。 「まるで」が当てはまれば比喩、「たとえば」が当てはまれば例示。   例  比喩：  彼は（まるで）日本人のように、流暢な日本語を話す。 例示：（例えば）トムさんのように日本語が上手に話せるようになりたい。
〜ように	目標を実現させるために〜する
「〜ために」と「〜ように」の違い	接続の違い ・「〜ために」は意志動詞と接続する。 ・「〜ように」は無意志動詞と接続する。  ニュアンスの違い ・「〜ために」は目的を達成するという意志が強い。 ・「〜ように」は目的を達成するために頑張って何かをするというニュアンスがある。また、「息子が試験に受かるようにお祈りする。」のようにお願いする時にも使う。
〜ようにしている	習慣的にしていることをいう表現
〜ようにする	〜ように 努力する/ 頑張って〜する 話し手が意識的に頑張って〜すると決めて、それを述べる時に使う。
〜ようになる / 〜なくなる	以前は〜じゃないが、今は〜である。 状況や能力の変化を表す。   ●誤用例 最近、運動不足なので、太るようになりました。  「太る」はその動詞自体に「変化」を持っているため、その場合には「ようになる」を基本的に使えないです
〜予定だ	〜するつもりだ   すでに決まったスケジュールを言うときに使われる。話し手の意志が含まれていないことにも使える。
〜らしい	たぶん〜だ / 〜だそうだ 見たり聞いたりした情報から判断して「たぶん〜だ」と述べる推量表現。
Nらしい	「そのものの典型的な性質を持っている」ということを表す表現。
