#separator:tab
#html:false
〜合う	お互いに〜する
〜こと	～しなさい / ～してください 指示や規則などを書いて伝えるときの表現。（口で伝えることもある。）
〜ごとに	〜たびに / 〜単位で / 〜周期で
ことから	〜が理由で / 〜が由来で / 〜が判断の根拠になって
〜ことになっている	～という決まりである / 〜することが決まっている 規則や習慣、予定などでそうすること、そうしないことがすでに決まっているという意味。
〜ことはない	～する必要はない / ～しないほうがいい   ① 悩んでいる人に「その必要はないよ」と助言や忠告をする時に使う。 ②「そんなに強く言うことは無いだろ」と非難として使うこともある。
〜込む	①長い時間〜する ②内部への移動を表す。
最中に	〜しているときに / ちょうど〜中に 状態動詞や瞬間動詞と一緒に使うことができない。 （例. 住んでいる最中に地震があった）
〜際(に) / 〜際の	〜ときに / 〜の機会に 硬い表現である。そのため、日常会話ではあまり使わない。 「際は」を使う場合、後件には「～ください」が来ることが多い。
〜さえ・・・	〜も 「～もそうだから、他も当然そうだ。」ということを暗示する。
〜さえ〜ば	〜が実現できれば、他は問題ない。 ある１つの条件が満たされれば、他は問題にならない、大丈夫だと言う意味。
〜しかない / 〜ほかない	それ以外に方法がない 他に方法がない、仕方がないからそうすると、あきらめの気持ちで言う時に使う表現
～じゃない	①だぶん～だと思う / たぶん～だろう ②確認 ③聞き手に対する驚きや非難など
〜ずに	〜しないで 「〜ないで」と同じ意味だが、「〜ずに」の方が少し硬い。
〜せいで	「〜が原因で」 悪い結果になった原因を言う時に使う。
〜たがる	〜たがる：第３者がしたいことを述べる表現。 〜がる：第３者が欲しいと思っているものを述べる表現。
〜だけ	～の範囲は全部て 「～の範囲の限界まで～する」と言いたいときに使う。
〜だけでなく〜も	それだけではない。他にもある。 範囲が〜より広く及ぶことを表す。
たとえ〜ても	"""もし仮に〜という状況になったとしても"" 前件の状況が成立したとしても 、後件に来る事柄に影響しないことを表す。"
Vたところ	～したら、～と言う結果になった / ～したら、～ということがわかった  きっかけを言う表現。
〜たびに	〜のときはいつも / 〜するといつも
「〜たびに」と「〜につけて」の違い	「〜につけて」は後件に自然に起こる心の状態が来るので、次のような文では使えない。
〜ために	原因 / 理由を表す。
〜たものだ	過去の状態やよく起こったことを思い出して言う時の表現。
Nだらけ	"""〜がたくさんある / 〜がたくさんついている"" 同質のものが多量に存在していてよくない状態。"
〜だろう	「〜でしょう」の普通体。話し手の考えを婉曲に伝える・推量
（なんて）〜だろう	非常に〜だ 感激したことや驚いたことを気持ちを込めて言う表現。
つい〜てしまう	してはいけないと思っていることを無意識にしてしまう。 後悔の意味。
〜ついでに	「〜する機会を利用して」 「何かを行う機会を利用して、他のことも加えて行う」と言う時に使う表現。
〜っけ	でしたか？ 話し手が思い出せないことを相手に、聞く表現。独り言でも使うことがある。
〜つもりだ	～と思っていたが、実際は違っていた
移動Vている	移動後の状態・状況の変化を表す。   (例) キムさんは中国に行っています。 →キムさんは中国に行きました。キムさんは今、中国にいます。
〜ている場合はない	今していることをすぐにでもやめて、他のことをしたほうがいいと言う時に使う。
〜てからでないと / 〜てからでなければ	～した後でなければ
〜てしかたがない / 〜でしょうがない	① 我慢できないくらい～だ 気持ちが強く、抑えることができないことを表す。   ② 最高に〜だ
〜て済む	〜で十分だ / 〜で解決する / 〜で問題ない / 〜でOKだ
〜てたまらない	"""我慢できないほど～ / 非常に～"" 強い感情がわき起こり、その気持ちを抑えることができないと言いたい時に使う。"
～てはいけないから / ～といけないから	よくない状況にならないように 話し手がよくないと考える状況にならないよう～すると言いたいときに使う表現。
Vてはじめて	"""〜して、その時はじめて・・・” 以前はしたことがなく、初めて経験してわかったこと・気づいたことを言う表現 後件で述べる事柄のきっかけになった出来事を前件で述べる。"
〜ても構わない	〜ても問題ない / 〜てもいい 許可、許容を表す。
〜てもしかたがない / 〜てもしょうがない	〜ても意味がない / 〜ても無駄だ
〜ても始まらない	〜ても意味がない / 〜ても進まない それをしても事態の進展には繋がらないことを表す。
〜といえば	"""〜について話すと"" ・Ｎ２は、Ｎ１と聞いて、すぐに連想できる物や事柄。 ・話題の提供や、話の切り替え時に使用されることが多い。"
ということだ	〜そうだ / 〜と言っていました。 伝聞表現で「～そうだ」や「～と言っていました」よりも少し硬い表現。改まった場面で使われることが多い。   「〜とのことだ」で置き換えられる。
ということだ	〜という意味だ / つまり〜だ
〜というより（も）	〜という言い方よりも、むしろ〜   前件と後件を比較して前件よりも後件のほうが近い、当たっていると言いたい時に使う。
〜といっても	～というけれども、実際は・・・。 〜から考えられるものと実際が違うことを表現するときに使う。
〜通す	最後まで〜する / ずっと〜する
〜とおりに	〜と同じに
〜とか〜とか	〜や〜など 例を複数挙げて言う時に使う。
〜としたら	〜と仮定したら / もし〜が実際に起こったと仮定したら
〜として	〜という立場で / 資格で / 名目で 立場や資格などをはっきりと示すときに使う表現。
〜としても / 〜としたって	もし仮に〜が起こったという場合でも   前件の条件が成立しても、後件の条件には影響しないということを表す。
〜たとたん	"""〜するとすぐに / 〜と同時に"" 予期しないというニュアンスの内容が後ろに続く"
〜途中に	〜をしているときに 動作やイベントが始まってから、終わるまでの間を表す。
〜とともに	〜といっしょに / 〜と同時に
〜とのことだ	〜そうだ / 〜と言っていました / 〜と聞きました   伝聞表現の１つ。
〜とは限らない	必ず～になるとは言えない。例外もある。 部分否定の表現。
〜とみえる	〜らしい / 〜ようだ   推量表現。根拠に基づき、「〜らしい/〜ようだ」と言いたいときに使う。
〜なあ	自分の気持ちを強調したり、気持ちを感情的に表現したい時に使われる。 独りごとでも使われる。
〜直す	もう一度〜する
〜など	〜にようなものは / 〜なようなことは   ①例を挙げる時に使う ②謙遜する時に使う ③相手を軽視する時に使う。
〜において / 〜における	場所・場面・状況・分野・方面に関して使われる。 「〜で」とだいたい同じ意味。改まった書き言葉で使われるので、日常的なことでは使わない。
〜に限る	～が一番いい 話し手が主観的に一番いいと思っているもの・ことを主張するときに使う。
〜にかけては	"""〜についていうと、他よりも上手だ（すごい、自信がある etc）。"" ある分野における技術や知識が他の者よりも優れていることを表す。 後ろには評価を表す表現が使われる。"
〜に代わって	〜と入れ替わって / 〜の代理として
〜に関して	～について
〜に決まっている	きっと〜だ / 絶対に〜だ 話し手が強い確信を持っているときに使う推量表現。
〜に比べて	〜より 初級で勉強する比較表現「〜より」と置き換えが可能。「〜に比べると」という言い方もある。
〜にしたがって	"""〜すると、だんだん"" 前件の変化に対応して、後件も変化するということを表す。 そのため、変化を表現する言葉が使われる。"
〜にしても〜にしても	〜でも〜でも、どちらの場合でも・・・   「〜」には対立する２つのもの、あるいは同ジャンルの２つのものが来る。
〜に対して	〜に / 〜を相手として
〜に対して	〜に対比して考えると
〜に違いない	きっと〜と思う。〜に決まっている。
〜について	〜のことを 話す・聞く・考える・書く・調べるなどの行為の対象を言う時に使う表現。
〜につき	「Nにつき」でNに対してどのぐらい費用や時間がかかるのか、サービスがあるのかなどを表す。   話すときは「につき」を省略して言うことが多い。
〜につれて	〜すると、少しずつ
Nにとって	〜の立場から考えると / 〜の視点で言うと
〜には	〜するために 目的を表す。
〜に反して / 〜に反するN	〜とは反対に、逆に
〜によって	"""Nという手段や方法で〜する""   手段・方法を表す。 書き言葉として使われる。 「〜で」で置き換えが可能。   単に手段の選択を表す場合には使わない。 ×毎日、自転車によって学校へ行く。 ×箸によってご飯を食べます。   ●Nにくる言葉の例 インターネット、メール、方法、結婚、リサイクル、対話、教育、リクエスト、技術、システムなど。"
〜によって（誤用）	単に手段の選択を表す場合には使わない。 ×毎日、自転車によって学校へ行く。 ×箸でご飯を食べます。
〜によって	「〜」が変わると、後件も変わる。
〜によって	〜が原因で。
〜によっては	ある〜の場合は・・・こともある。
〜によると / 〜よれば	"""〜では"" 情報源や判断の元を表す"
〜にわたって	〜の全体に及んで ある行為や状態がその範囲全体に及んでいる様子を表す表現。
〜のでしょうか / 〜んでしょうか	話し手が疑問に思うことを丁寧に問いかける表現。
数量 + は	少なくとも
〜場合	起こりうる可能性の中から１つの事態を取り上げて、その事態が起きた時に必要な対応を述べる表現。
〜ばかりでなく	～だけでなく
〜はずがない	～は考えられない / 絶対に〜でない 話し手が確信を持って、「〜ではない」と言う時に使う表現。可能性を完全に否定する。   強い否定を表す。「～はずがない」と置き換えが可能
～ば～のに	～すれば違う結果になっていたのに・・・。    ～しなかったこと、〜でないことを残念に思ったり後悔する言い方。
〜は別として	〜は考えないで / 〜は含めないで
〜はもちろん	〜は当然として
〜ぶり	〜という長い時間を経て
〜ぶり / 〜っぷり	〜している様子
〜ふりをする	「〜にように振舞う / 〜のように見せる」 実際は違うが、そうであるように振舞う様子を表す。
〜べきだ	〜した方がいい / 〜するのが当然だ   常識的に〜するのが当然だと言う時に使う。
〜べきだった	〜すればよかった  / 〜したほうがよかった 〜するのが当然だったが、実際にはしなかったと言う時に使う表現。
〜ば〜ほど	〜すれば・・・になり、もっと〜すれば・・・になる 前件の程度が強まると、それに影響して後件の程度もさらに強まることを表す。
〜ほど	動作や状態の程度を例を使って表す。
〜ほど・・・はない	〜が一番いい。   話し手が主観的に「最高だ」、「一番いい」と強調して言いたい時に使う。 そのため、客観的な事実については使えない。  誤用例 × エベレストほど高い山はない。 → エベレストが世界で一番高い山だ。
まるで〜みたいだ	"""実際はそうではないが、そのように感じる” 他の物に例える表現（比喩）。「まるで〜ようだ」よりもカジュアルで会話で使う。"
まるで〜ようだ	他の物に例える表現（比喩）。
〜向けに	〜のために / 〜を対象に / 〜に適するように
〜向けに 類似文型「〜向き」との違い	類似文型に「〜向き」という文型がある。   「〜向け」は特定の人を対象に意図して作られたり、書かれたりされるのに対して、「〜向き」は「〜にちょうど良い」という意味がある。  例文 このアニメは子供向けに書かれた。このアニメは大人向きだ。 例えば、上の「このアニメは大人向きだ。」の場合、特に意図して大人のために作ったアニメということではなく、グロテスクな描写があったり、子供が見るのにはあまり良くない描写があるなどして、子供より大人が見るにはちょうど良いという意味がある。
〜も〜ば、〜も	〜も・・・し、それから〜も・・・。
〜ようがない / 〜ようもない	"""〜できない / 〜したくても手段がない"" 不可能であることを強調して言う時に使う。"
〜ようとする	① ～しようと思って、そのことを始める直前の状態であることを表す ② 〜しようと努力している様子を表す。
連用中止	動詞文や、い形容詞文の接続のしかたの一つで、並列や理由を表す。 ・行為の順序や対立する内容を表す際に使われる。 ・「作り方」や「使い方」の説明でもよく使われる。 ・書き言葉でよく使われる。
〜わけがない	～は考えられない / 絶対に〜でない 話し手が確信を持って、「〜ではない」と言う時に使う表現。可能性を完全に否定する。
〜わけだ/〜というわけだ	① ・・・なのだから当然～という結果になる。/ だから～になるのか。 ある事実や状況から、当然そうなることを説明したり、説明を聞いてよくわかったときに使う。   ② ・・・なので、〜ということだね 相手が言ったことや意見などを反復したり、再度確認するときに使う表現。
わけではない / わけじゃない	全部が〜とは言えない。   部分否定の「〜というものではない」と同じ意味で使われる。 また、直前のことから当然予想されることを婉曲的に否定するのにも用いられる。
〜わけにはいかない	①～したい気持ちはあるが理由があって～できない ②〜しなければならない / 〜するのが当然だ
～わりに	～と思えないくらい / ～とは不釣り合いに   この程度のレベルかなと思っていたのに、実際にはそれよりもよかった、あるいは悪かった時に使う。程度の差には幅がある。
～わりに（誤用）	× 毎日、１０時間も勉強したわりには、不合格だった。 〇 毎日、１０時間も勉強したわりには、成績があまりよくなかった。   上の文のように、「～わりには」の後件には制限があります。誤用例では、合格か不合格か２つしか結果がなく、その間の幅がありません。   このように幅がないものには「～わりには」が使えません。
〜を込めて	〜を入れて / 〜と一緒に   気持ちや力などを入れて何かをするという意味
〜を中心に / 〜を中心として	〜を基点にして / 〜を集中的に
〜を通して/通じて	～の間ずっと
〜を通して/通じて	～を手段として / 〜を媒介として  ばい‐かい【媒介】 ［名］(スル) ① 両方の間に立って、なかだちをすること。とりもつこと。「虫が伝染病を媒介する」
